flux,lam
      22455.0,      100.000
      23293.3,      100.200
      24163.0,      100.401
      25065.1,      100.602
      26000.9,      100.803
      26971.6,      101.005
      27978.5,      101.207
      29023.1,      101.410
      30106.6,      101.613
      31230.7,      101.816
      32201.6,      102.020
      31421.1,      102.224
      30659.5,      102.429
      29916.4,      102.634
      29191.2,      102.840
      28483.7,      103.045
      27793.3,      103.252
      27119.6,      103.458
      26462.3,      103.666
      25820.9,      103.873
      25842.2,      104.081
      26911.7,      104.289
      28025.4,      104.498
      29185.2,      104.707
      30393.0,      104.917
      31650.8,      105.127
      32960.6,      105.338
      34324.7,      105.548
      35745.2,      105.760
      37224.5,      105.971
      37613.0,      106.184
      37827.8,      106.396
      38043.9,      106.609
      38261.2,      106.823
      38479.8,      107.037
      38699.6,      107.251
      38920.7,      107.466
      39143.0,      107.681
      39366.6,      107.896
      39188.7,      108.112
      38644.4,      108.329
      38107.7,      108.546
      37578.4,      108.763
      37056.5,      108.981
      36541.8,      109.199
      36034.3,      109.417
      35533.8,      109.636
      35040.3,      109.856
      34852.5,      110.076
      35237.5,      110.296
      35626.6,      110.517
      36020.1,      110.738
      36417.9,      110.960
      36820.2,      111.182
      37226.8,      111.405
      37638.0,      111.628
      38053.7,      111.851
      38474.0,      112.075
      38898.9,      112.300
      39328.5,      112.524
      39762.9,      112.750
      40202.1,      112.975
      40646.1,      113.202
      41095.0,      113.428
      41548.9,      113.655
      42007.8,      113.883
      42297.4,      114.111
      42404.2,      114.339
      42511.2,      114.568
      42618.6,      114.798
      42726.1,      115.027
      42834.0,      115.258
      42942.1,      115.488
      43050.5,      115.720
      43159.2,      115.951
      43268.1,      116.183
      43377.3,      116.416
      43486.8,      116.649
      43596.6,      116.883
      43706.6,      117.117
      43817.0,      117.351
      43927.6,      117.586
      44038.4,      117.821
      44173.8,      118.057
      44385.3,      118.294
      44597.9,      118.530
      44811.4,      118.768
      45026.0,      119.006
      45241.6,      119.244
      45458.2,      119.483
      45675.9,      119.722
      45894.6,      119.961
      46114.4,      120.202
      46335.2,      120.442
      46557.1,      120.683
      46780.0,      120.925
      46920.6,      121.167
      47024.1,      121.410
      47127.8,      121.653
      47231.7,      121.896
      47335.9,      122.140
      47440.3,      122.385
      47544.9,      122.630
      47649.7,      122.875
      47754.8,      123.121
      47860.1,      123.368
      47965.6,      123.615
      48071.4,      123.862
      48177.4,      124.110
      48283.6,      124.359
      48390.1,      124.608
      48496.8,      124.857
      48890.2,      125.107
      49675.0,      125.358
      50472.4,      125.609
      51282.6,      125.860
      52105.8,      126.112
      52942.2,      126.364
      53792.0,      126.617
      54655.5,      126.871
      54484.3,      127.125
      53253.2,      127.379
      52050.0,      127.634
      50873.9,      127.890
      50292.6,      128.146
      50146.0,      128.403
      49999.8,      128.660
      49854.1,      128.917
      49708.7,      129.175
      49563.8,      129.434
      49419.3,      129.693
      49275.3,      129.953
      49131.6,      130.213
      48988.4,      130.474
      48845.6,      130.735
      48703.2,      130.996
      52170.5,      131.259
      55939.8,      131.521
      59981.4,      131.785
      63659.7,      132.049
      64566.4,      132.313
      65486.0,      132.578
      66418.7,      132.843
      67364.7,      133.109
      68324.2,      133.376
      69297.3,      133.643
      70284.3,      133.910
      71397.7,      134.178
      72586.1,      134.447
      73794.3,      134.716
      75022.7,      134.986
      76271.4,      135.256
      77541.0,      135.527
      78831.7,      135.798
      80143.9,      136.070
      81477.9,      136.343
      82834.2,      136.615
      84213.0,      136.889
      83649.8,      137.163
      81785.6,      137.438
      79962.9,      137.713
      78180.9,      137.988
      76438.6,      138.265
      74735.1,      138.542
      73069.5,      138.819
      71441.1,      139.097
      69849.0,      139.375
      68292.4,      139.654
      66770.4,      139.934
      67818.0,      140.214
      69698.1,      140.495
      71630.3,      140.776
      73616.1,      141.058
      75657.0,      141.340
      77754.4,      141.623
      79910.0,      141.907
      82125.4,      142.191
      84402.1,      142.476
      86742.0,      142.761
      88343.6,      143.047
      85882.6,      143.333
      83490.2,      143.620
      81164.4,      143.907
      78903.3,      144.196
      76705.3,      144.484
      74568.5,      144.773
      72491.3,      145.063
      70471.9,      145.354
      68508.7,      145.645
      66600.3,      145.936
      64745.0,      146.228
      62941.3,      146.521
      61188.0,      146.815
      61185.4,      147.108
      64209.4,      147.403
      67382.8,      147.698
      70713.1,      147.994
      74207.9,      148.290
      77875.5,      148.587
      81724.3,      148.884
      85763.4,      149.182
