flux,lam
4.7592907400535905e-20,100.0
4.7402916007421034e-20,100.200200133
4.721368306096654e-20,100.400801068
4.7025205535706775e-20,100.601803605
4.683748041412587e-20,100.80320855
4.665050469320156e-20,101.005016708
4.6464275380614514e-20,101.207228887
4.6278789498392486e-20,101.409845894
4.609404407735048e-20,101.612868541
4.5910036162549456e-20,101.816297639
4.572676280869853e-20,102.020134003
4.554422108463013e-20,102.224378447
4.536240806875683e-20,102.429031789
4.5181320852612377e-20,102.634094847
4.500095653813907e-20,102.839568442
4.482131224028998e-20,103.045453395
4.464238508348361e-20,103.251750531
4.446417220677936e-20,103.458460673
4.428667075775937e-20,103.665584649
4.4109877895969045e-20,103.873123288
4.3933790793701806e-20,104.081077419
4.375840663255773e-20,104.289447875
4.3583722606797e-20,104.498235489
4.340973592159748e-20,104.707441096
4.3236443793845354e-20,104.917065532
4.3063843448799684e-20,105.127109638
4.289193212746184e-20,105.337574251
4.272070707668104e-20,105.548460216
4.2550165558922695e-20,105.759768374
4.238030484489114e-20,105.971499571
4.22111222159536e-20,106.183654655
4.20426149664775e-20,106.396234473
4.187478039979789e-20,106.609239876
4.170761582979322e-20,106.822671717
4.154111858318047e-20,107.036530848
4.137528599555399e-20,107.250818125
4.1210115412932794e-20,107.465534406
4.1045604192489525e-20,107.68068055
4.088174970325201e-20,107.896257416
4.071854932301161e-20,108.112265867
4.055600044058199e-20,108.328706767
4.039410045425474e-20,108.545580983
4.0232846774748057e-20,108.762889381
4.007223682142996e-20,108.980632831
3.991226802525376e-20,109.198812203
3.9752937825774685e-20,109.417428371
3.95942436747722e-20,109.636482208
3.9436183031844226e-20,109.855974592
3.927875336943486e-20,110.075906399
3.912195216704066e-20,110.296278511
3.896577691690451e-20,110.517091808
3.8810225120393404e-20,110.738347173
3.865529428798719e-20,110.960045492
3.850098194134469e-20,111.182187651
3.834728561116418e-20,111.404774539
3.8194202838540375e-20,111.627807046
3.804173117355107e-20,111.851286065
3.788986817794974e-20,112.075212488
3.773861142036767e-20,112.299587213
3.758795848103916e-20,112.524411137
3.7437906950380635e-20,112.749685158
3.728845442695839e-20,112.975410178
3.713959851946482e-20,113.2015871
3.6991336846666436e-20,113.428216828
3.684366703540744e-20,113.65530027
3.669658672448335e-20,113.882838332
3.655009355876628e-20,114.110831927
3.64041851962739e-20,114.339281964
3.625885930106007e-20,114.568189359
3.6114113548311937e-20,114.797555027
3.5969945621759496e-20,115.027379886
3.5826353215527916e-20,115.257664854
3.568333403221469e-20,115.488410852
3.554088578226266e-20,115.719618805
3.539900618762875e-20,115.951289636
3.525769297743057e-20,116.183424273
3.5116943891589615e-20,116.416023643
3.497675667714742e-20,116.649088678
3.483712909186504e-20,116.882620309
3.4698058901175237e-20,117.116619471
3.4559543880543107e-20,117.351087099
3.442158181305751e-20,117.586024132
3.428417049176325e-20,117.821431509
3.414730771785944e-20,118.057310172
