flux,lam
4.374895434454796e-09,100.0
5.00480210264608e-09,100.200200133
5.727071284045788e-09,100.400801068
6.555527878799016e-09,100.601803605
7.506134340574773e-09,100.80320855
8.597348937387992e-09,101.005016708
9.85055978457365e-09,101.207228887
1.1290619949298791e-08,101.409845894
1.2946522375150525e-08,101.612868541
1.4852274962982096e-08,101.816297639
1.6764951039908678e-08,102.020134003
1.62442237098677e-08,102.224378447
1.5738947764908788e-08,102.429031789
1.5248679168698728e-08,102.634094847
1.4772986895064323e-08,102.839568442
1.4311452491462378e-08,103.045453395
1.3863669646909591e-08,103.251750531
1.342924380167602e-08,103.458460673
1.3007791746702974e-08,103.665584649
1.259894126420218e-08,103.873123288
1.2606950820524534e-08,104.081077419
1.327827663351651e-08,104.289447875
1.3988243891143762e-08,104.498235489
1.4738859231262426e-08,104.707441096
1.5532304760390808e-08,104.917065532
1.637093684737696e-08,105.127109638
1.7257287526958234e-08,105.337574251
1.8194068200963734e-08,105.548460216
1.9184175123557653e-08,105.759768374
2.0230696614033685e-08,105.971499571
2.1838947293752834e-08,106.183654655
2.3664277881706507e-08,106.396234473
2.5646498736916686e-08,106.609239876
2.7799457978970134e-08,106.822671717
3.013825738236386e-08,107.036530848
3.267936870602379e-08,107.250818125
3.544076099565291e-08,107.465534406
3.844203999983456e-08,107.68068055
4.1704600867073065e-08,107.896257416
4.499910538475759e-08,108.112265867
4.831050450559636e-08,108.328706767
5.1873372124176814e-08,108.545580983
5.570738015936663e-08,108.762889381
5.983378336833528e-08,108.980632831
6.427555008183382e-08,109.198812203
6.905750417597305e-08,109.417428371
7.420647891498067e-08,109.636482208
7.975148413325523e-08,109.855974592
8.127401279754716e-08,110.075906399
7.484648482471744e-08,110.296278511
6.891648012446596e-08,110.517091808
6.344634585170315e-08,110.738347173
5.840121203104351e-08,110.960045492
5.3748791018032706e-08,111.182187651
4.9459190902528303e-08,111.404774539
4.5504742150196835e-08,111.627807046
4.1859836387987187e-08,111.851286065
3.850077667928591e-08,112.075212488
3.540563822852544e-08,112.299587213
3.255413917913648e-08,112.524411137
2.992752045703395e-08,112.749685158
2.7508434175490404e-08,112.975410178
2.5280840076615922e-08,113.2015871
2.3229909341736258e-08,113.428216828
2.134193527392605e-08,113.65530027
1.9604250473040864e-08,113.882838332
1.9053739416035842e-08,114.110831927
1.9662037825861765e-08,114.339281964
2.0291195673135176e-08,114.568189359
2.0941974092547e-08,114.797555027
2.1615163572861625e-08,115.027379886
2.231158513803652e-08,115.257664854
2.3032091596133017e-08,115.488410852
2.3777568836156777e-08,115.719618805
2.4548937156977152e-08,115.951289636
2.5347152695310802e-08,116.183424273
2.6173208871445693e-08,116.416023643
2.702813793835339e-08,116.649088678
2.7913012554375438e-08,116.882620309
2.882894746377039e-08,117.116619471
2.977710121556231e-08,117.351087099
3.075867798798814e-08,117.586024132
3.1774929459215986e-08,117.821431509
3.2824538877222395e-08,118.057310172
3.39028551474489e-08,118.293661065
3.501914156954524e-08,118.530485132
3.617481864992616e-08,118.767783321
3.7371362989304824e-08,119.005556582
3.8610309598423545e-08,119.243805865
3.98932543398911e-08,119.482532123
4.122185646164638e-08,119.721736312
4.2597841223263136e-08,119.961419388
4.4023002670228515e-08,120.20158231
4.549920650101047e-08,120.442226038
4.7028393083414804e-08,120.683351535
4.8612580585191616e-08,120.924959766
4.9787576729765894e-08,121.167051696
5.0780304364535796e-08,121.409628296
5.179528826313385e-08,121.652690533
5.283307577863873e-08,121.896239382
5.389422879860127e-08,122.140275816
5.497932417963956e-08,122.384800811
5.608895417434932e-08,122.629815346
5.72237268571278e-08,122.8753204
5.838426659019592e-08,123.121316955
5.957121449050233e-08,123.367805996
6.078522889593707e-08,123.614788508
6.202698587477066e-08,123.862265479
6.329717973652698e-08,124.1102379
6.459652354261325e-08,124.358706762
6.5925749663485e-08,124.607673059
6.728561032684791e-08,124.857137786
6.826216958944819e-08,125.107101943
6.869707076724238e-08,125.357566528
6.913617550889113e-08,125.608532543
6.957953183238984e-08,125.860000993
7.002718838631535e-08,126.111972883
7.047919446442768e-08,126.364449221
7.093560001343088e-08,126.617431017
7.139645564079677e-08,126.870919282
6.671753978356886e-08,127.124915032
5.772283075911744e-08,127.379419282
4.992674165181191e-08,127.634433049
4.317144807071914e-08,127.889957354
2.446155863633062e-08,128.145993219
1.0063423466329246e-08,128.402541669
4.133073330382496e-09,128.659603728
1.6946509230010647e-09,128.917180427
6.937265532096105e-10,129.175272794
2.8354947100945367e-10,129.433881862
1.1573071079417991e-10,129.693008667
4.717554959084442e-11,129.952654243
1.9210407536919527e-11,130.21281963
7.817359541497559e-12,130.473505869
3.1806493037573603e-12,130.734714001
1.2949371166025942e-12,130.996445073
1.2660035159594511e-12,131.258700131
1.2526930657797632e-12,131.521480224
1.239506526380432e-12,131.784786403
1.2253911398661521e-12,132.048619721
1.2068176914897976e-12,132.312981234
1.1884991940165026e-12,132.577871999
1.1704325409540342e-12,132.843293075
1.152614658306187e-12,133.109245525
1.1350425045632854e-12,133.375730412
1.1177130701545366e-12,133.642748803
1.1006233774968985e-12,133.910301764
1.077287687907881e-12,134.178390367
1.0512278934413127e-12,134.447015683
1.0257568051925316e-12,134.716178788
1.000862126749002e-12,134.985880758
9.765317960057806e-13,135.256122671
9.527539809963627e-13,135.526905609
9.29517076230871e-13,135.798230655
9.068096987241971e-13,136.070098894
8.846206841748817e-13,136.342511413
8.62939083044765e-13,136.615469303
8.417541571765672e-13,136.888973655
8.154969529601221e-13,137.163025563
7.863633260443991e-13,137.437626123
7.582236231496065e-13,137.712776434
7.310456366447204e-13,137.988477596
7.047981437528949e-13,138.264730712
6.794508784600571e-13,138.541536887
6.5497450397675e-13,138.818897229
6.313405862822824e-13,139.096812846
6.085215676815265e-13,139.375284851
5.864907419225352e-13,139.654314357
5.652222292304034e-13,139.933902481
5.413729246972468e-13,140.214050341
5.175202814510698e-13,140.494759056
4.94689137728164e-13,140.776029751
4.728373829497624e-13,141.057863551
4.5192456788962757e-13,141.340261582
4.3191184209956135e-13,141.623224974
4.12761893935314e-13,141.906754859
3.9443889249270466e-13,142.190852372
3.769084318689398e-13,142.475518648
3.6013747696953746e-13,142.760754826
3.435120907414248e-13,143.046562048
3.248053303781488e-13,143.332941456
3.0711842464865115e-13,143.619894196
2.9039759530811664e-13,143.907421416
2.7459181651116593e-13,144.195524265
2.59652679709465e-13,144.484203897
2.4553426543352213e-13,144.773461466
2.3219302072916736e-13,145.063298129
2.1958764259749293e-13,145.353715046
2.0767896711630046e-13,145.644713377
1.96429863495337e-13,145.936294288
1.858051337812857e-13,146.228458943
1.7577141673726033e-13,146.521208513
1.6629709699212512e-13,146.814544168
1.5664374130604908e-13,147.108467081
1.4644753285939144e-13,147.402978429
1.3695426520575744e-13,147.698079388
1.2811766465420586e-13,147.99377114
1.1989452278063215e-13,148.290054867
1.1224450710271343e-13,148.586931755
1.0512998396762711e-13,148.884402991
9.851585264985101e-14,149.182469764
9.23693901168731e-14,149.481133268
8.666010608980439e-14,149.780394696
8.135960739567603e-14,150.080255246
7.644147155818755e-14,150.380716117
7.188112881696595e-14,150.681778511
6.765575228714568e-14,150.983443633
5.960554551996442e-14,151.285712688
5.244514306757062e-14,151.588586887
4.628484511149707e-14,151.89206744
4.099009109307544e-14,152.196155562
3.644499243863632e-14,152.500852468
3.254981309955932e-14,152.806159378
2.9218791202824877e-14,153.112077513
2.6378256399338917e-14,153.418608097
2.3965003842791386e-14,153.725752355
2.1924890668230564e-14,154.033511516
2.0211625530546137e-14,154.341886812
1.8785725557925448e-14,154.650879475
1.7613618490326712e-14,154.960490742
1.701510863992654e-14,155.270721851
1.658687077913263e-14,155.581574043
1.626588323857178e-14,155.893048562
1.6047284203813096e-14,156.205146653
1.5927170217221278e-14,156.517869565
1.5902543626179233e-14,156.831218549
1.597126884008574e-14,157.145194858
1.6132036906799608e-14,157.459799747
1.63843379982859e-14,157.775034477
1.672844145300352e-14,158.090900306
1.7165383129032207e-14,158.407398499
1.769695984477619e-14,158.724530323
1.841027899813222e-14,159.042297044
1.9774020489620982e-14,159.360699935
2.124265198542218e-14,159.679740269
2.282452682794944e-14,159.999419322
2.4528685583574525e-14,160.319738373
2.6364914326089226e-14,160.640698703
2.834380801885561e-14,160.962301596
3.047683943076227e-14,161.284548338
3.2776434114936376e-14,161.607440219
3.525605194216192e-14,161.93097853
