flux,lam
5.888027598554468e-25,100.0
4.387597467996204e-25,100.200200133
3.2678378320712246e-25,100.400801068
2.4326548317790784e-25,100.601803605
1.8100880458611329e-25,100.80320855
1.3462809310254273e-25,101.005016708
1.0009497475438776e-25,101.207228887
7.439806027276241e-26,101.409845894
5.52875204583656e-26,101.612868541
4.1083480482867555e-26,101.816297639
3.16517653622287e-26,102.020134003
3.3888004383125e-26,102.224378447
3.6289365110165486e-26,102.429031789
3.886840879725996e-26,102.634094847
4.1638680259913456e-26,102.839568442
4.4614786985147687e-26,103.045453395
4.7812484873327497e-26,103.251750531
5.124877092514295e-26,103.458460673
5.494198381939866e-26,103.665584649
5.891191267133027e-26,103.873123288
6.187083430742435e-26,104.081077419
6.288706073583954e-26,104.289447875
6.392270968828094e-26,104.498235489
6.497819360812008e-26,104.707441096
6.605393450329577e-26,104.917065532
6.715036420638901e-26,105.127109638
6.826792457361309e-26,105.337574251
6.940706779991552e-26,105.548460216
7.056825661442321e-26,105.759768374
7.175196459452683e-26,105.971499571
7.13028901360977e-26,106.183654655
7.060384309144579e-26,106.396234473
6.991084078897732e-26,106.609239876
6.922383834641005e-26,106.822671717
6.854279116616942e-26,107.036530848
6.78676549179238e-26,107.250818125
6.71983855438458e-26,107.465534406
6.653493926040018e-26,107.68068055
6.587727255994408e-26,107.896257416
6.485140845624694e-26,108.112265867
6.350113695818709e-26,108.328706767
6.217694274272667e-26,108.545580983
6.087836563634957e-26,108.762889381
5.960495273920568e-26,108.980632831
5.835625834837475e-26,109.198812203
5.713184383499029e-26,109.417428371
5.59312775741932e-26,109.636482208
5.475413481433147e-26,109.855974592
5.345413296221534e-26,110.075906399
5.191339540253863e-26,110.296278511
5.0414696763539996e-26,110.517091808
4.895696281376014e-26,110.738347173
4.7539144767939726e-26,110.960045492
4.616021875442591e-26,111.182187651
4.481918525441653e-26,111.404774539
4.351506858385451e-26,111.627807046
4.224691636121142e-26,111.851286065
4.1013799020094307e-26,112.075212488
3.981480927003109e-26,112.299587213
3.864906164538988e-26,112.524411137
3.7515692012731385e-26,112.749685158
3.641385708483263e-26,112.975410178
3.5342733974701794e-26,113.2015871
3.430151974256683e-26,113.428216828
3.3289430938784617e-26,113.65530027
3.230570319636056e-26,113.882838332
3.1251630572079856e-26,114.110831927
3.013038578322554e-26,114.339281964
2.9047750206171014e-26,114.568189359
2.8002461661516776e-26,114.797555027
2.6993296876663556e-26,115.027379886
2.6019070376719427e-26,115.257664854
2.5078633378559237e-26,115.488410852
2.4170872724637948e-26,115.719618805
2.3294709872076773e-26,115.951289636
2.2449099858037683e-26,116.183424273
2.1633030342834513e-26,116.416023643
2.084552063493408e-26,116.649088678
2.0085620784725148e-26,116.882620309
1.9352410665179826e-26,117.116619471
1.8644999107338334e-26,117.351087099
1.796252303417157e-26,117.586024132
1.7304146642407116e-26,117.821431509
1.6653902336969982e-26,118.057310172
1.59818444307384e-26,118.293661065
1.5336099510090697e-26,118.530485132
1.471568278339643e-26,118.767783321
1.411964448827312e-26,119.005556582
1.3547068719106782e-26,119.243805865
1.2997072279218304e-26,119.482532123
1.2468803577325915e-26,119.721736312
1.1961441565117833e-26,119.961419388
1.1474194695226365e-26,120.20158231
1.1006299923233886e-26,120.442226038
1.0557021733334197e-26,120.683351535
1.0125651201201258e-26,120.924959766
9.691706552665021e-27,121.167051696
9.26747955926311e-27,121.409628296
8.861482410507981e-27,121.652690533
8.472962639479796e-27,121.896239382
8.101197454723326e-27,122.140275816
7.74549261972498e-27,122.384800811
7.405181380666896e-27,122.629815346
7.079623436097266e-27,122.8753204
6.768203934887697e-27,123.121316955
6.470332514402593e-27,123.367805996
6.185442376393298e-27,123.614788508
5.9129893887196255e-27,123.862265479
5.652451223215912e-27,124.1102379
5.403326527498299e-27,124.358706762
5.165134120311608e-27,124.607673059
4.937412221137199e-27,124.857137786
4.7145046881917776e-27,125.107101943
4.495045544111824e-27,125.357566528
4.285849089634718e-27,125.608532543
4.0864519720833556e-27,125.860000993
3.896410910464908e-27,126.111972883
3.715301862446583e-27,126.364449221
3.542719227341409e-27,126.617431017
3.378275080335071e-27,126.870919282
3.22069675233267e-27,127.124915032
3.0697316994939186e-27,127.379419282
2.926008367537122e-27,127.634433049
2.7891905382503525e-27,127.889957354
2.655543704140586e-27,128.145993219
2.526073764270892e-27,128.402541669
2.403155092786298e-27,128.659603728
2.2864659382535446e-27,128.917180427
2.175699768842115e-27,129.175272794
2.0705645780333263e-27,129.433881862
1.9707822251170307e-27,129.693008667
1.876087805175081e-27,129.952654243
1.786229041642894e-27,130.21281963
1.7009657103083888e-27,130.473505869
1.6200690868295976e-27,130.734714001
1.5433214164088106e-27,130.996445073
1.4698262133261126e-27,131.258700131
1.4001395581582727e-27,131.521480224
1.3340779626680487e-27,131.784786403
1.2710453127954975e-27,132.048619721
1.2095975579682804e-27,132.312981234
1.151479722650808e-27,132.577871999
1.0965152046787698e-27,132.843293075
1.0445364520964737e-27,133.109245525
9.953845173470565e-28,133.375730412
9.489086310031606e-28,133.642748803
9.049657973760168e-28,133.910301764
8.75588423212721e-28,134.178390367
8.532788314388687e-28,134.447015683
8.316155095053893e-28,134.716178788
8.105803707141573e-28,134.985880758
7.9015580263555814e-28,135.256122671
7.703246554690479e-28,135.526905609
7.510702310333385e-28,135.798230655
7.323762716937524e-28,136.070098894
7.142269496122909e-28,136.342511413
6.9660685610987905e-28,136.615469303
6.795009916558921e-28,136.888973655
6.602620901717046e-28,137.163025563
6.399657963884401e-28,137.437626123
6.204430737342371e-28,137.712776434
6.016649238980201e-28,137.988477596
