wave,flux
2620.0003,2.6201577e-15
2620.3936,1.9927080e-15
2620.7869,-7.3246524e-15
2621.1803,-1.4492627e-14
2621.5738,-1.7693461e-14
2621.9673,-1.2805422e-14
2622.3608,-1.1479294e-14
2622.7545,-1.1548925e-14
2623.1481,-1.3504037e-14
2623.5419,-8.5385147e-15
2623.9357,-6.3952721e-15
2624.3296,-8.9348257e-15
2624.7235,-2.0442552e-14
2625.1175,-2.6503211e-14
2625.5115,-2.4929107e-14
2625.9056,-1.3021987e-14
2626.2998,-3.7165846e-15
2626.6940,3.1322637e-15
2627.0883,4.7655567e-15
2627.4826,1.0355112e-14
2627.8770,1.5035022e-14
2628.2714,1.8608078e-14
2628.6660,1.1448116e-14
2629.0605,2.0747811e-16
2629.4552,-1.2545898e-14
2629.8499,-1.5455023e-14
2630.2446,-1.1608749e-14
2630.6394,-2.5666055e-15
2631.0343,3.5293361e-16
2631.4292,1.2536779e-15
2631.8242,-5.7503297e-16
2632.2192,5.0071304e-15
2632.6143,1.3491857e-14
2633.0095,2.3799906e-14
2633.4047,2.3066888e-14
2633.8000,1.1913590e-14
2634.1954,-1.1121376e-14
2634.5908,-3.2676289e-14
2634.9862,-4.8622917e-14
2635.3818,-4.9118463e-14
2635.7773,-3.8458109e-14
2636.1730,-1.4204136e-14
2636.5687,1.2201572e-14
2636.9644,3.7450601e-14
2637.3603,4.8370911e-14
2637.7561,4.5933225e-14
2638.1521,2.8145897e-14
2638.5481,8.0218029e-15
2638.9441,-1.1408210e-14
2639.3402,-2.0731694e-14
2639.7364,-2.4635057e-14
2640.1326,-1.9775564e-14
2640.5289,-1.3310577e-14
2640.9253,-2.1399450e-15
2641.3217,6.6162086e-15
2641.7182,1.6151036e-14
2642.1147,1.9051649e-14
2642.5113,1.8080336e-14
2642.9080,7.8849356e-15
2643.3047,-4.4405081e-15
2643.7014,-1.9901027e-14
2644.0983,-2.9659867e-14
2644.4952,-3.6045356e-14
2644.8921,-3.2748922e-14
2645.2891,-2.5320030e-14
2645.6862,-1.0828933e-14
2646.0833,1.7570190e-15
2646.4805,1.3643763e-14
2646.8777,1.8252353e-14
2647.2750,2.2570527e-14
2647.6724,2.3775472e-14
2648.0698,2.5931325e-14
2648.4673,1.9749624e-14
2648.8649,8.2466214e-15
2649.2625,-9.8282326e-15
2649.6601,-2.0319093e-14
2650.0579,-2.2286027e-14
2650.4556,-1.1986863e-14
2650.8535,-1.0626858e-15
2651.2514,1.0077411e-14
2651.6494,1.4590305e-14
2652.0474,1.8318987e-14
2652.4455,1.6684027e-14
2652.8436,1.3102162e-14
2653.2418,1.4455374e-15
2653.6401,-1.2062799e-14
2654.0384,-2.7874455e-14
2654.4368,-3.5294633e-14
2654.8352,-3.5168389e-14
2655.2337,-2.2574083e-14
2655.6323,-6.0455726e-15
2656.0309,1.4326776e-14
2656.4296,2.9697452e-14
2656.8283,4.3601414e-14
2657.2271,5.0637512e-14
2657.6260,5.4935208e-14
2658.0249,4.9065261e-14
2658.4239,3.5794195e-14
2658.8229,9.8076432e-15
2659.2220,-1.7750781e-14
2659.6212,-4.1398661e-14
2660.0204,-4.6985905e-14
2660.4197,-4.0523994e-14
2660.8190,-2.7490522e-14
2661.2184,-2.3111336e-14
2661.6179,-2.1658442e-14
2662.0174,-1.9651924e-14
2662.4170,-5.0994493e-15
2662.8166,1.2625406e-14
2663.2163,2.8305675e-14
2663.6161,2.9930942e-14
2664.0159,2.4794122e-14
2664.4158,1.4895710e-14
2664.8157,1.1155270e-14
2665.2157,7.8465605e-15
2665.6158,6.0285212e-15
2666.0159,-2.8351506e-15
2666.4161,-1.1421059e-14
2666.8163,-1.9056969e-14
2667.2166,-1.5406107e-14
2667.6170,-7.2275043e-15
2668.0174,2.5732026e-15
2668.4179,1.0008093e-15
2668.8184,-7.8422385e-15
2669.2190,-2.1001542e-14
2669.6197,-2.3241963e-14
2670.0204,-1.6200257e-14
2670.4212,-7.5584740e-16
2670.8220,8.4848859e-15
2671.2229,1.3562043e-14
2671.6239,1.4914462e-14
2672.0249,2.5581386e-14
2672.4260,3.8731565e-14
2672.8271,4.8809530e-14
2673.2283,4.0473037e-14
2673.6296,2.1503041e-14
2674.0309,-2.1099942e-15
2674.4323,-1.4702631e-14
2674.8337,-2.0207823e-14
2675.2352,-1.6893429e-14
2675.6368,-1.3415064e-14
2676.0384,-5.6296112e-15
2676.4401,1.0486354e-15
2676.8418,1.3782165e-14
2677.2436,2.8765802e-14
2677.6455,4.8132377e-14
2678.0474,5.5998239e-14
2678.4494,4.5762208e-14
2678.8515,9.2210820e-15
2679.2536,-3.5984032e-14
2679.6557,-7.3523710e-14
2680.0580,-8.2519484e-14
2680.4602,-6.9172797e-14
2680.8626,-4.1973481e-14
2681.2650,-1.7801369e-14
2681.6675,1.0549776e-14
2682.0700,4.8587176e-14
2682.4726,1.0282666e-13
2682.8752,1.4368854e-13
2683.2779,1.3490525e-13
2683.6807,4.4425322e-14
2684.0835,-1.0052106e-13
2684.4864,-2.3262188e-13
2684.8894,-2.6578733e-13
2685.2924,-1.7600742e-13
2685.6955,-1.9637652e-15
2686.0986,1.6697073e-13
2686.5018,2.6786557e-13
2686.9050,2.6444267e-13
2687.3084,1.6163075e-13
2687.7117,-1.4415482e-14
2688.1152,-1.8687204e-13
2688.5187,-2.7558658e-13
2688.9222,-2.3098804e-13
2689.3258,-9.2349946e-14
2689.7295,6.0238049e-14
2690.1333,1.4675587e-13
2690.5371,1.5315644e-13
2690.9409,1.0581856e-13
2691.3448,5.5300487e-14
2691.7488,1.8722767e-14
2692.1529,-3.9777861e-15
2692.5570,-3.3112430e-14
2692.9611,-6.3893885e-14
2693.3654,-8.5571969e-14
2693.7696,-7.4183520e-14
2694.1740,-3.4063036e-14
2694.5784,2.0273109e-14
2694.9829,5.6395506e-14
2695.3874,6.4401656e-14
2695.7920,4.3921371e-14
2696.1966,1.8801441e-14
2696.6013,-8.2624761e-16
2697.0061,-7.4812528e-15
